T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
34.7,42.6,28.4,1003.1,30,1.9,5.2,11.1,245.4,2,52,83,Very Poor,5
35.7,44.1,28.5,1004,37,1.9,8.5,18.3,203,5,61,158,Very Poor,5
37.2,42.3,30.7,1001.5,48,1.9,7.8,14.8,154.9,2,54,72,Very Poor,5
35.1,42.2,28.8,998.1,41,1.9,12.6,24.1,106.8,4,55,233,Poor,4
32.2,39.2,27,997.4,57,1.9,15,20.6,290.9,4,44,284,Sever,6
27.1,32.4,21.4,997.7,68,1.9,14.1,29.4,229.34,5,50,351,Very Poor,5
25.8,33.9,20.7,1002.4,75,1.9,13,46.5,39.74,3,141,554,Sever,6
30.2,37.1,21.9,1001.9,57,1.9,6.9,25.9,74.54,5,118,400,Very Poor,5
34.2,40.7,26.3,999.6,42,2.3,9.3,25.9,137.37,13,117,351,Very Poor,5
35.2,41.8,29.2,1000,40,1.9,15.6,22.2,132.29,13,91,405,Very Poor,5
31.6,40.1,27.4,1002.2,48,1.9,7.4,33.5,61.29,4,59,66,Moderate,3
31,36.6,25.3,1004.4,49,1.9,5.7,18.3,42.78,4,51,205,Moderate,3
33.3,38.6,26.3,1001.7,45,2.6,8.5,14.8,80.38,7,89,240,Moderate,3
33.8,40.9,27.4,1001.4,49,1.9,7.8,18.3,76.02,4,41,127,Moderate,3
33.5,40.6,26.3,999.3,54,1.9,7.8,18.3,37.43,4,52,113,Moderate,3
34.8,41.5,27.6,996.7,49,1.9,13,18.3,65.63,2,101,151,Moderate,3
30.7,36.7,24.4,999.8,54,1.9,18.5,33.5,43.63,2,108,355,Very Poor,5
30.2,36.8,22.8,1003.3,51,1.9,8.1,18.3,50.58,4,43,247,Moderate,3
32.1,39.4,24.5,1002.5,46,1.9,4.8,11.1,63.73,5,65,233,Moderate,3
33.3,40.6,26,1000.1,46,2.6,5.6,14.8,87.85,2,85,129,Moderate,3
35.1,42.2,26.3,999.1,48,2.3,2.2,7.6,88.82,4,94,294,Poor,4
36.8,43.5,29.8,999,39,1.9,5.6,16.5,55.36,4,60,165,Moderate,3
33.6,38.8,27.4,997.5,49,1.6,15.6,18.3,54.46,4,87,172,Moderate,3
33.9,41.8,24.4,996.2,53,2.3,11.9,33.5,118.6,4,55,169,Poor,4
30.5,41.8,23.7,997.4,70,1.9,10.7,14.8,219.1,5,60,387,Very Poor,5
31.8,37,26.7,995.3,68,1.9,10,11.1,199.2,3,82,156,Very Poor,5
30,37.5,26.2,994.9,74,1.9,7.4,11.1,271.8,7,80,201,Sever,6
30.7,37.5,25.6,996,71,1.9,5,11.1,37.7,4,54,314,Poor,4
31,38.4,24.5,995,66,1.9,4.6,11.1,71,4,49,152,Moderate,3
32.4,38.4,27.3,996.6,64,1.9,3.9,11.1,280.4,5,88,149,Sever,6
33.8,38,29.1,996.3,61,1.9,5.7,9.4,174.8,9,60,252,Very Poor,5
34.1,38.6,29.8,995.2,62,1.9,5.7,11.1,17.27,4,60,256,Poor,4
34.2,38.7,30,994.5,62,1.9,11.5,16.5,60.98,5,63,247,Moderate,3
34.6,38.7,30,994,61,1.9,3.3,7.6,56.46,6,78,193,Moderate,3
28.3,30.7,25.9,996.5,85,1.8,5,16.5,139.34,4,63,245,Very Poor,5
29.7,34,27.2,995.5,84,1.9,2,5.4,638.14,6,88,171,Sever,6
30.4,34.5,27.8,995.3,79,1.9,5.4,14.8,344.46,3,77,199,Sever,6
29.4,33.4,27.6,996.3,81,1.9,4.4,9.4,30.84,11,63,302,Poor,4
29.8,34.3,26.7,996.5,76,1.9,11.1,18.3,12,4,52,206,Moderate,3
31.5,35.6,26.7,997.4,67,1.9,13.3,27.8,98.6,4,53,117,Poor,4
31,36.4,27.8,997.1,69,1.9,9.3,25.9,62.4,9,83,189,Moderate,3
32.8,38.5,28.2,998,57,2.3,11.1,27.8,242.8,4,52,211,Very Poor,5
33.4,38.5,28,1000.1,60,1.9,8.7,25.9,50.4,5,69,275,Poor,4
31.1,37.7,28,1001.2,74,1.9,4.6,9.4,216,4,58,290,Very Poor,5
30.2,37.7,27.8,1001.4,79,1.9,7.6,9.4,204.4,5,70,212,Very Poor,5
31.1,36.5,27.8,1000.9,73,1.9,10.4,16.5,295.2,4,38,109,Sever,6
28.9,33.3,26.6,1000.2,84,1.8,6.1,11.1,220.1,2,38,144,Very Poor,5
28.7,33,26.6,999.1,85,1.9,4.3,9.4,135.4,2,51,180,Very Poor,5
31.4,35.9,26.7,997.9,74,1.9,4.8,18.3,181.6,23,52,219,Very Poor,5
31.6,35.9,28,997.4,74,1.9,3.3,7.6,219.7,4,36,292,Very Poor,5
32.4,36.4,28.2,996.8,72,1.9,8.5,14.8,196.7,4,50,336,Very Poor,5
29.8,35.6,27.4,997,80,1.9,8.3,11.1,272.2,18,112,344,Sever,6
28.9,32.6,26.8,997.2,79,1.9,11.1,14.8,83.9,4,60,72,Moderate,3
29.9,34.8,25.7,997.3,77,1.9,5.4,11.1,33.8,5,52,158,Moderate,3
29.5,34.8,26.2,997,79,1.9,9.4,18.3,35.1,4,57,150,Moderate,3
29.7,34.2,26.9,996,82,1.9,6.5,11.1,117.7,6,72,339,Poor,4
31.6,36.3,27.5,993.6,74,1.9,3.3,7.6,123.1,4,41,207,Very Poor,5
32.4,37.3,28.9,993.3,66,1.9,13,18.3,149.3,4,48,279,Very Poor,5
31.2,37.3,26.3,995.6,75,1.9,4.6,7.6,194.2,2,63,201,Very Poor,5
31.3,35.2,27.6,995.7,74,1.9,4.4,14.8,97.6,4,47,272,Poor,4
30,35.2,27,997.8,76,2.3,11.3,16.5,260.1,5,61,223,Sever,6
31.1,35,26.8,1000.3,67,1.9,13,20.6,88.4,4,29,97,Moderate,3
30.6,35,27.5,1003.9,74,1.9,10.7,14.8,200.6,4,39,157,Very Poor,5
29.9,35.6,26.4,1003.9,83,1.9,2,9.4,156.2,2,72,119,Very Poor,5
29.2,35.6,27.2,1000.8,83,1.9,5.2,11.1,146.1,2,59,95,Very Poor,5
29.2,33.6,26.1,999.4,86,1.9,7.4,14.8,226.3,4,45,103,Very Poor,5
30.1,34.6,26.5,999.7,80,1.9,6.5,11.1,61.3,4,45,110,Moderate,3
31,34.6,27.6,997.7,78,1.9,6.3,16.5,41.9,2,58,78,Satisfactory,2
32.8,37.2,28.3,996.2,69,2.3,7,11.1,231.8,22,72,167,Very Poor,5
32.3,36.5,28.6,996.3,71,1.9,9.3,16.5,95.3,5,55,459,Sever,6
33.3,38.2,28.9,996.3,68,2.6,10.9,18.3,17.8,5,65,365,Very Poor,5
30.9,38.2,28.8,997.9,74,2.3,8.5,14.8,266.2,2,138,692,Sever,6
29.4,34.7,26.6,998,84,1.8,4.4,11.1,268.6,4,130,600,Sever,6
30.2,34.6,27.6,996.5,82,1.6,3,11.1,204.2,4,52,172,Very Poor,5
29.8,34.6,26.9,996.4,86,1.9,5,11.1,75.2,5,60,331,Poor,4
31.8,35.2,27.6,996.6,73,1.9,10,16.5,147.6,2,81,375,Very Poor,5
31.3,35.3,27.8,997.4,72,1.9,13.7,22.2,11.4,4,87,159,Moderate,3
30.7,34.8,27.9,997.2,71,2.6,15.6,22.2,92.2,5,97,337,Poor,4
28.8,32.8,26.9,997.8,87,1.9,10,18.3,166.4,5,62,409,Very Poor,5
27.4,32.8,25.5,997.7,93,1.8,11.9,18.3,2.99,4,36,164,Moderate,3
29.8,35.7,25.4,999.2,77,1.9,10,13,11.69,4,58,236,Moderate,3
28.2,35.7,25.6,1000.1,80,1.9,18.3,22.2,11.95,4,49,149,Moderate,3
26.8,28.1,25.1,997.4,94,1.8,10,18.3,4.3,5,57,281,Poor,4
26.6,28.1,25.4,998.8,93,1.9,3,11.1,242.85,2,83,174,Very Poor,5
29.2,33.6,25.4,999.6,77,1.9,7.2,18.3,41.43,3,74,259,Poor,4
30.4,34.8,25.7,1000.5,73,1.9,7.4,14.8,51.65,4,56,316,Poor,4
28.3,34.8,26.4,1002.4,83,1.9,6.3,22.2,32.75,5,59,271,Poor,4
29.6,34.3,25.7,1004.3,79,1.9,9.6,14.8,31.26,2,87,147,Moderate,3
31.3,35.5,27,1003.5,72,1.9,4.4,7.6,38.81,3,76,233,Moderate,3
28.2,35.8,25,1002.6,87,1.9,9.1,14.8,187.4,5,60,218,Very Poor,5
27.7,34.5,24.6,1002.9,88,1.9,3.7,9.4,14.39,2,56,152,Moderate,3
30,34.4,25.6,1003.1,81,1.9,2.6,9.4,147.51,3,84,131,Very Poor,5
29,34.4,25.7,1003,87,1.9,1.1,9.4,310.27,3,87,176,Sever,6
31.1,36.1,26.1,1001.6,73,2.6,3.9,7.6,235.5,5,56,364,Very Poor,5
31.8,36.2,27.6,1002.8,71,1.9,8.9,20.6,109.6,4,54,411,Very Poor,5
31.3,36.7,28.1,1002.7,75,2.6,4.6,14.8,82.6,4,58,273,Poor,4
31.7,36.1,27.6,1001.7,72,3.1,8.7,16.5,110.5,4,38,276,Poor,4
32.2,36.7,28.7,1000.4,72,2.7,8.5,11.1,93,4,38,190,Poor,4
31.8,36.7,25,999.9,70,2.7,8.1,22.2,75.4,2,100,237,Moderate,3
29.8,36.6,24.4,1000.3,74,1.9,14.3,22.2,292.5,2,100,173,Sever,6
27.6,32.4,25.4,1001.6,90,1.9,5.6,16.5,9.29,5,51,394,Very Poor,5
28.2,32.4,24.5,1000.1,89,1.9,3,7.6,12.66,2,83,400,Very Poor,5
28.6,32,26.8,998.6,88,1.8,2.2,9.4,31.29,3,88,265,Poor,4
28.9,34.2,26.1,999.1,83,1.9,5.4,14.8,9.63,2,91,386,Very Poor,5
27.2,34.2,25.1,1003.1,95,1.6,4.3,7.6,18.02,4,53,232,Moderate,3
29.9,34.1,25.7,1003.4,81,1.8,2.2,5.4,14.4,4,48,260,Poor,4
30.4,34.6,26.6,1001.6,75,2.6,10.2,18.3,158.1,2,53,190,Very Poor,5
30.2,34.3,27.1,1002.2,77,1.9,10.2,18.3,254.9,2,54,187,Sever,6
31,35.6,27.4,1002.3,74,2.3,2.8,9.4,69.4,32,56,271,Poor,4
31.4,36.2,27.7,1000.7,72,2.6,5,16.5,254.5,20,106,263,Sever,6
28,36.2,25.6,1001.2,86,1.9,3.1,9.4,10.44,4,67,200,Moderate,3
28.7,34.2,25.6,1001.5,86,1.9,0.4,3.5,42.46,5,61,272,Poor,4
28.9,33.5,24.5,1000.9,79,2.7,7.4,18.3,9.21,7,72,291,Poor,4
29,33.4,25.5,1002.2,77,1.9,7.2,14.8,9.05,4,59,280,Poor,4
29.3,33.6,25.4,1004.9,76,3.1,7.8,18.3,15.83,4,48,192,Moderate,3
29.1,33.6,25,1005.2,71,2.6,12,29.4,20.57,2,61,141,Moderate,3
28.9,33.7,25,1003.6,75,2.3,8.5,18.3,21.72,4,31,203,Moderate,3
29.2,34.1,25.1,1004.4,72,2.3,8.3,18.3,28.54,4,44,129,Moderate,3
28.9,34.1,24.8,1003.4,69,2.6,12.6,25.9,25.91,2,54,64,Satisfactory,2
28.7,34.3,23.4,1004.5,60,2.7,9.4,20.6,31.3,2,64,137,Moderate,3
29.1,34.7,24.2,1006,66,2.7,9.3,24.1,29.67,4,45,126,Moderate,3
29.3,34.7,24.7,1005.9,64,2.7,12.2,22.2,36.28,4,49,129,Moderate,3
28.8,34.1,24.3,1005.3,68,2.6,12.2,22.2,27.31,4,29,64,Satisfactory,2
28.6,33.9,24.5,1005.7,65,2.7,13.9,25.9,35.78,5,47,71,Satisfactory,2
28.5,34.7,24.2,1006.5,58,2.7,12,24.1,45.64,4,43,167,Moderate,3
28.5,34.7,22.7,1007.3,53,2.3,12.2,22.2,39.15,5,55,163,Moderate,3
28.3,34.7,23.4,1005.6,61,1.9,11.7,24.1,55.32,5,52,248,Moderate,3
28.3,34.8,23,1005.3,59,2.6,12.4,33.5,64.95,4,38,170,Moderate,3
28.5,34.5,23.7,1005.8,61,2.7,7.8,22.2,56.36,4,60,104,Moderate,3
28.4,34.5,24,1007.1,64,2.3,7.4,18.3,53.3,5,62,278,Poor,4
28.3,34.5,23.4,1010.5,65,2.3,6.5,16.5,52.18,2,72,373,Very Poor,5
27.9,34.4,23.3,1011.1,69,2.6,3.7,11.1,47.78,7,69,221,Moderate,3
27.9,34.7,23,1010.1,66,2.6,5.7,22.2,53.12,2,54,365,Very Poor,5
27.4,34.1,23.2,1011,70,1.9,4.8,11.1,56.27,5,50,206,Moderate,3
27.1,33.6,21.8,1012.3,68,2.3,5.4,14.8,65.69,3,75,192,Moderate,3
27.3,34,22,1012.1,66,2.3,3.5,11.1,95.25,5,52,181,Poor,4
27.4,34,22.7,1011,65,1.9,7.6,18.3,89.17,4,55,301,Poor,4
27.2,34.6,21.2,1009.1,63,1.9,6.1,20.6,11.12,3,76,126,Moderate,3
27.9,35.1,22.2,1008.3,57,2.6,6.5,14.8,65.86,4,58,134,Moderate,3
26.4,35.1,21,1008,60,2.6,5.2,14.8,79.09,4,59,221,Moderate,3
25.6,34.5,19,1009,56,1.9,4.3,25.9,79.26,2,42,110,Moderate,3
24.8,34.4,18.4,1010.4,60,1.9,0.9,7.6,63.87,3,40,355,Very Poor,5
25,32.6,18.4,1010.2,61,1.9,1.9,14.8,34.9,4,40,257,Poor,4
24.7,33,18.6,1007.9,63,1.6,3,18.3,266.6,4,50,206,Sever,6
24.6,32.8,18.5,1011.1,69,1.1,1.3,5.4,32.9,2,27,48,Satisfactory,2
24.9,33.5,18.4,1011.6,65,1.1,1.9,7.6,162.5,5,50,165,Very Poor,5
24.9,33.5,19,1011.5,68,1.4,1.7,9.4,84.85,4,48,208,Moderate,3
23.5,32.8,17.6,1011.8,62,1.6,0.4,3.5,141.24,6,76,228,Very Poor,5
22.9,31.2,17.5,1013.6,59,1.1,2.8,11.1,111.89,4,54,274,Poor,4
22.4,30,16.7,1013.4,51,1.6,7.2,18.3,99.96,5,56,210,Poor,4
21.9,30,16,1013.2,56,1.6,3.5,11.1,44.39,2,73,157,Moderate,3
22,30.2,15.2,1012.8,63,1.6,1.9,14.8,27.85,3,65,364,Very Poor,5
22.4,30.6,15.3,1011,59,1.3,3,7.6,14.99,4,38,265,Poor,4
21.8,31.6,15.9,1011.7,66,1.1,0.7,5.4,9.48,4,51,308,Poor,4
22.5,32.6,15.4,1011.6,59,1.4,2.8,11.1,6.01,3,73,192,Moderate,3
23.2,32.6,15.6,1010.6,55,1.9,3.1,11.1,2.37,7,64,331,Poor,4
22.7,32.4,15.9,1010.7,58,1.8,3.1,11.1,7.09,4,51,222,Moderate,3
22.7,32.2,17.1,1012.5,69,0.8,2.4,11.1,139.7,4,51,99,Very Poor,5
22.3,30,17.4,1011.5,66,1.1,5.4,20.6,14,4,60,183,Moderate,3
21.3,29.9,15.1,1013.1,66,1.4,0.9,7.6,258,4,40,157,Sever,6
21.4,30.7,14.2,1013.8,62,1.1,1.9,14.8,73.9,4,38,160,Moderate,3
23.5,30.7,15.2,1012.8,60,1.3,2.4,11.1,206.4,4,56,202,Very Poor,5
24.1,30.8,18.3,1011.6,66,1.3,6.1,16.5,2.27,4,52,340,Poor,4
23.4,29.4,18.5,1011.6,68,1.6,7,14.8,287.5,5,55,273,Sever,6
21.9,29.6,16.2,1012.4,65,1.6,5,18.3,1.81,10,99,229,Moderate,3
21.1,30.4,14.5,1013.9,67,1.4,1.7,9.4,44.6,4,48,251,Poor,4
21.1,30.4,14.2,1014.6,67,1.6,2,9.4,1.43,4,58,134,Moderate,3
21.1,29.6,14.3,1014.5,67,1.4,2.4,11.1,4.52,8,62,288,Poor,4
21.6,29.6,15.6,1012.7,66,1.4,4.4,11.1,5.77,10,45,352,Very Poor,5
21.1,29.4,15.4,1012.8,63,1.8,3.9,14.8,1.99,4,36,209,Moderate,3
21.6,30,15.8,1012.5,64,1.4,2.6,11.1,1.11,4,48,204,Moderate,3
20.3,27.5,15.1,1014.5,83,1,0.9,3.5,1.37,5,56,160,Moderate,3
19.8,27.7,14.6,1016.6,86,0.6,1.9,7.6,265,4,49,226,Sever,6
20.7,27.8,14.8,1017.5,84,0.5,0.7,5.4,2.39,6,65,280,Poor,4
19.9,27.9,15,1017,84,0.8,0.4,3.5,2.88,4,41,131,Moderate,3
19,28,12.7,1015.6,76,1.1,2,11.1,200.87,2,55,51,Very Poor,5
18.6,27.4,12.4,1014.8,74,1.1,1.1,9.4,218.2,2,51,112,Very Poor,5
18,27.4,12.7,1014.5,74,1.1,1.1,9.4,94.1,4,34,94,Poor,4
17.7,25.4,11.8,1013.1,70,1.3,6.5,18.3,281.3,4,36,135,Sever,6
18.1,25.7,12.7,1012.7,69,1.4,11.5,25.9,91.9,4,34,182,Poor,4
17.8,26,11.5,1012.9,62,1.9,3.5,9.4,136,4,50,166,Very Poor,5
17.4,26.5,10.1,1014.5,75,1.3,1.5,7.6,14.42,4,46,264,Poor,4
19.7,27.6,14.2,1009.8,73,1.1,4.4,18.3,13.9,4,52,297,Poor,4
18,27.6,12,1011,70,1.6,3.1,14.8,44,5,61,110,Moderate,3
20.2,28.7,12.7,1013.2,72,1.3,4.3,11.1,1.3,2,41,69,Satisfactory,2
19.6,27.4,14.5,1014.3,79,1.1,4.3,11.1,1.6,4,36,416,Very Poor,5
21.2,29.2,14.4,1013,73,1.4,5.6,11.1,1.19,4,54,153,Moderate,3
18.6,29.2,16.4,1013.9,88,0.6,4.6,14.8,176.6,2,41,85,Very Poor,5
17.3,23.4,13,1013.7,70,1.4,9.1,18.3,105.4,3,49,93,Poor,4
15,23.2,9.7,1015,56,1.6,5.4,20.6,166,4,48,286,Very Poor,5
14.4,24.6,7.1,1017.8,64,1.1,2,9.4,91,5,61,151,Poor,4
13.7,23.1,6.9,1017.7,65,1.4,4.6,18.3,22.2,2,49,66,Satisfactory,2
13.3,22.4,6.4,1017.6,60,1.4,5.4,14.8,31.3,5,71,108,Moderate,3
12.7,22.4,5.9,1017.7,65,1.3,3.9,9.4,133.5,4,58,308,Very Poor,5
12.3,22.2,4.7,1017.9,64,1.3,4.1,14.8,289.8,5,54,171,Sever,6
12.2,21.8,5,1017.6,66,1.1,3.7,11.1,73.52,4,36,128,Moderate,3
12.4,23,5,1018.6,72,0.5,2.8,14.8,68.4,4,50,237,Moderate,3
11.6,23,5,1017.8,81,0.3,0.9,7.6,62.9,3,46,183,Moderate,3
12.2,20.4,4.8,1017.1,80,1,4.4,11.1,299.1,4,49,134,Sever,6
13,23,6.8,1017.8,71,1.1,0.4,3.5,159,4,56,371,Very Poor,5
12.6,23,6,1017.6,67,0.6,5.4,9.4,138.3,4,70,153,Very Poor,5
10.7,21.7,5,1016.8,69,0.8,6.5,14.8,276.9,2,24,131,Sever,6
10.4,20,3.3,1016,64,1.4,5.9,18.3,246.2,5,19,78,Very Poor,5
10.3,20.3,2.9,1016.2,62,1.3,3.1,13,259.5,4,54,231,Sever,6
10.6,20.8,3.4,1016.2,69,0.6,0.2,1.9,11.31,4,57,177,Moderate,3
11.2,21.6,4.1,1016.7,75,0.3,0.7,5.4,832.74,4,26,131,Sever,6
13,23.9,5.2,1018.3,74,0.8,0.9,3.5,952.42,4,20,109,Sever,6
13.9,22.3,6.8,1018.7,77,0.5,2.4,9.4,789.5,4,32,121,Sever,6
12.6,21.1,6.6,1018.8,82,0.3,1.7,7.6,740.49,4,46,133,Sever,6
15.1,23.3,6.8,1017.3,78,0.8,2.2,7.6,770.3,4,37,161,Sever,6
16.3,18.4,11.3,1015.3,85,1.1,2.2,7.6,104.56,4,42,320,Poor,4
14.6,19.7,11,1016.6,89,0.2,2.4,11.1,166.91,5,58,107,Very Poor,5
13.4,20.6,7.9,1015.3,75,0.6,4.4,14.8,340.01,2,33,46,Sever,6
14.7,21.8,8,1014.9,76,0.3,1.9,5.4,495.45,4,35,146,Sever,6
14.4,19.3,11.2,1016,88,0.3,6.5,11.1,290.75,4,41,130,Sever,6
14.5,19.3,12.4,1015.9,91,1,9.1,18.3,136.22,2,46,43,Very Poor,5
14.6,17.7,12.5,1018.8,88,1.1,9.1,14.8,200.4,4,44,331,Very Poor,5
13,18,9,1020.2,83,0.8,7.4,11.1,167.74,4,46,556,Sever,6
11.3,17.6,7,1020.3,73,1,6.7,14.8,159.57,4,55,257,Very Poor,5
10.1,17.9,4.5,1020.9,66,1,4.4,14.8,220.93,6,54,370,Very Poor,5
10.7,18.5,4.6,1020.2,71,0.6,6.7,16.5,227.57,4,48,114,Very Poor,5
11.4,18.7,5.3,1019.5,63,1.3,8.7,22.2,"2,460.39",4,49,167,Sever,6
12.5,19.8,5.5,1019,61,1.3,8.1,14.8,"2,912.25",11,53,141,Sever,6
14.5,22.6,6.7,1015.4,62,1.3,6.3,18.3,"1,185.81",4,57,122,Sever,6
15.7,25.6,12.2,1010.1,82,1,9.8,18.3,127.49,8,66,215,Very Poor,5
10.8,20.3,8.4,1011.9,90,0.6,6.1,14.8,88.5,11,40,257,Poor,4
9.6,15.5,5.6,1011.9,83,0.8,3.1,14.8,88.64,5,62,235,Moderate,3
10.6,17.7,4.8,1014.6,83,0.8,3.5,11.1,455.03,4,52,171,Sever,6
9.2,17.7,4.5,1017.8,88,0.5,8.7,16.5,286.25,5,61,213,Sever,6
10.9,18.4,5.4,1017,70,1.4,7.6,25.9,150.18,2,47,101,Very Poor,5
11.3,18.4,6.4,1016.9,70,1.1,5,18.3,188,2,42,389,Very Poor,5
13,22.7,5.6,1017.1,70,1.4,5.7,14.8,189.24,4,44,186,Very Poor,5
14.2,21.6,7.5,1016,59,1.8,13.1,24.1,148.3,5,57,132,Very Poor,5
14.6,21.1,9,1015.8,65,1.6,8.1,14.8,258.48,2,40,53,Sever,6
15.6,21.1,9.3,1017.2,63,1.8,11.1,25.9,191.85,4,40,83,Very Poor,5
11.6,21,7,1016.7,74,1.3,5.6,18.3,218.74,4,33,177,Very Poor,5
12.3,21.7,5.1,1016.5,68,1.6,3.5,11.1,420.7,4,35,108,Sever,6
12.6,21.7,5.3,1018,61,1.3,8.5,18.3,263.82,2,75,65,Sever,6
13.9,27.2,6.6,1018.6,53,1.4,6.7,18.3,178.84,2,82,107,Very Poor,5
12.6,21.6,4.4,1019.8,59,1.4,4.8,14.8,"1,656.57",4,47,127,Sever,6
13.9,22.1,7.9,1019.9,55,1.6,10,22.2,244.72,4,58,227,Very Poor,5
14.7,22.8,8.4,1018.7,52,1.4,8.3,22.2,220.26,4,52,233,Very Poor,5
15.7,23.6,10.6,1017.5,57,1.6,3.5,11.1,274.5,5,52,303,Sever,6
17.3,24,10.1,1013.3,60,1.4,8,11.1,339.69,4,37,135,Sever,6
16.9,24,11.7,1016,64,1.1,8.3,18.3,302.07,4,35,79,Sever,6
15.7,23.8,10.6,1016.4,64,1.9,12.4,25.9,236.8,2,24,78,Very Poor,5
13.4,22,7.6,1014.5,65,1.8,9.1,14.8,159.58,2,25,88,Very Poor,5
13.4,20.5,9.1,1014.9,40,2.9,9.4,18.3,960.73,4,37,99,Sever,6
11.9,19.3,4,1017.1,49,2.3,13.1,25.9,"3,997.31",5,55,141,Sever,6
12.9,20.6,6.4,1016.2,49,1.6,12.2,25.9,"4,820.40",2,22,65,Sever,6
14.9,21.8,6.6,1015.8,50,1.9,6.7,14.8,"6,513.60",2,24,70,Sever,6
17.6,26.1,9.8,1013.1,51,1.6,5.7,14.8,"9,332.18",4,39,119,Sever,6
17.2,26.1,12.6,1012.5,65,1.4,5.7,18.3,482.49,4,45,78,Sever,6
16.8,23.6,11.7,1015.6,64,0.8,5.4,16.5,537.93,2,17,68,Sever,6
15.5,21.7,11.3,1015.1,42,2.4,7.8,14.8,"3,091.31",2,26,62,Sever,6
13.7,21.2,7.1,1016.1,47,2.4,9.3,18.3,"5,066.80",4,38,252,Sever,6
14.8,22.3,6.6,1017.2,55,1.4,9.6,18.3,731.34,4,42,81,Sever,6
17.3,24.6,10.9,1014.8,49,2.3,12.2,25.9,"3,929.71",4,57,136,Sever,6
17.7,25.5,11.4,1011.2,54,1.4,7.8,18.3,"7,680.91",2,52,77,Sever,6
20.2,29.3,11.1,1008.5,58,1.4,3.7,14.8,"1,075.12",2,53,136,Sever,6
21.4,30.1,13.5,1009.6,60,1.4,5.7,14.8,384.81,4,44,158,Sever,6
18.4,30.1,13.5,1011.4,65,1.9,7.6,18.3,"1,360.07",4,60,133,Sever,6
18.2,26.6,11.6,1012.1,51,1.8,7.8,16.5,292.67,2,35,71,Sever,6
16.7,26.6,10.5,1013.3,42,2.4,10.6,18.3,208.89,2,33,112,Very Poor,5
17.1,23.8,9.7,1012,45,2.9,15.6,27.8,"2,220.33",4,32,167,Sever,6
18.1,25,10.3,1009.4,46,1.9,15.9,27.8,242.08,4,47,106,Very Poor,5
18.7,26.4,12.5,1006.1,56,1.8,10.9,25.9,"6,781.76",2,46,74,Sever,6
18.4,26.7,11.9,1007,58,2.3,8.7,22.2,"2,937.44",3,41,108,Sever,6
19.8,29.4,10.6,1007.9,57,2.4,3.7,14.8,"9,604.51",4,46,164,Sever,6
20.2,29.5,12.2,1006.8,52,2.4,5.6,14.8,"8,468.69",6,70,203,Sever,6
21.2,29.2,12.4,1006.6,51,2.1,11.1,22.2,"5,735.16",2,26,59,Sever,6
24.4,32.7,14.5,1006.2,60,2.4,3.7,14.8,787.8,2,19,70,Sever,6
25.2,33,18.6,1004.6,58,1.9,8.1,20.6,360.31,4,36,116,Sever,6
22.6,33,16.4,1005.6,59,1.6,9.1,22.2,588.33,5,58,136,Sever,6
20.9,29.1,13.1,1004.9,49,2.6,8.3,22.2,266.03,4,33,180,Sever,6
19.9,29,12.7,1006.1,55,1.9,9.4,14.8,380.76,4,31,98,Sever,6
18.6,25,11.8,1010.2,50,1.9,8.1,18.3,"1,301.10",6,63,134,Sever,6
18,26.2,9.7,1013.1,52,2.6,5.4,14.8,"4,304.37",2,59,48,Sever,6
18.5,27.6,9.6,1013.5,50,2.6,3.7,14.8,"1,842.63",2,66,79,Sever,6
21.2,30.2,11,1012.2,50,2.3,5.9,14.8,"9,074.21",4,32,239,Sever,6
20.2,30.2,14.8,1014.9,58,2.6,7.8,14.8,"6,033.03",4,37,114,Sever,6
19.5,27.2,13.1,1015.8,52,1.6,11.7,22.2,"5,022.31",2,51,34,Sever,6
20.8,27.8,14,1013.3,50,2.4,10.6,18.3,763.7,2,56,78,Sever,6
22.3,31,14.2,1010.8,53,1.9,6.3,18.3,"2,808.27",4,54,230,Sever,6
24.9,34.6,15.3,1008.5,50,1.8,3.1,14.8,"10,657.79",4,56,229,Sever,6
26.1,35.6,17.2,1009.7,56,1.6,1.9,7.6,"6,454.08",6,87,279,Sever,6
28.3,37,19.4,1008.5,54,1.8,7,16.5,443.63,21,77,199,Sever,6
26.1,34.5,19.2,1008.7,44,1.1,10.2,24.1,"6,229.79",4,49,164,Sever,6
19.9,34.5,13.5,1012.1,35,1.8,16.7,27.8,"7,657.06",5,56,174,Sever,6
20.8,27.4,15.1,1012.7,37,1.9,18.5,29.4,"4,114.10",3,56,180,Sever,6
23.1,30.7,14.9,1012.5,38,2.6,15,24.1,196.17,4,63,486,Sever,6
25.3,32.8,17.7,1012.2,38,1.9,14.1,27.8,502.68,4,61,142,Sever,6
25,33.4,17.3,1010.9,44,2.4,11.5,25.9,"2,167.50",11,77,178,Sever,6
26.7,36.2,18.2,1010,45,1.9,5.6,14.8,747.48,4,37,156,Sever,6
26.4,36.2,19.2,1011.5,46,1.8,5,11.1,"1,153.37",4,55,157,Sever,6
26.3,33.6,17.8,1013.7,45,1.9,11.7,22.2,"2,973.84",2,41,118,Sever,6
26.1,32.8,19.2,1010.5,39,2.3,17.8,33.5,"1,334.73",2,52,308,Sever,6
26.3,34.6,19.1,1008,44,2.6,9.1,22.2,114.46,4,42,122,Poor,4
