T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
30.9,34.7,25.7,1003.5,73,1.9,5.7,11.1,35,4,47,69,Satisfactory,2
31.2,36,26.4,1003.3,72,1.9,4.1,11.1,43,2,48,81,Satisfactory,2
26.5,29.1,25.2,1005.7,89,1.9,0.9,7.6,45,3,51,22,Satisfactory,2
28.5,33.6,23,1005.1,77,1.9,5.7,13,33,2,43,29,Satisfactory,2
30.4,36.2,25.2,1003.6,61,1.9,8.3,13,37.125,15,80,100,Satisfactory,2
30.9,39.5,21.1,1004,38,2.7,8.1,33.5,56.875,4,39,62,Satisfactory,2
29.9,35.9,22,1007.4,56,2.6,4.4,11.1,55,5,68,65,Satisfactory,2
29.1,34.7,24.4,999.2,82,1.9,4.8,11.1,19.41666667,2,60,71,Satisfactory,2
29.8,35.1,25.5,998.2,83,1.8,3,5.4,35,2,40,101,Satisfactory,2
31,37.1,26.5,1007.1,54,2.6,7.6,22.2,43,7,56,52,Satisfactory,2
30.4,35.9,26,1003.6,78,1.6,2,7.6,51,7,60,35,Satisfactory,2
30.1,35.8,26.5,1002.3,70,1.9,10.2,14.8,19,2,65,67,Satisfactory,2
28.3,35.2,23.8,1008.9,63,1.9,3.9,11.1,47,2,79,81,Satisfactory,2
28.9,35,22.5,1011.5,54,3.5,8.3,14.8,35,4,36,68,Satisfactory,2
28.1,35.3,21.5,1011.8,56,2.6,5.6,13,57,4,30,85,Satisfactory,2
35.9,39.5,30.1,1000.1,55,2.7,10.9,16.5,58.36,4,46,101,Satisfactory,2
29.4,37,26,1000.2,69,2.9,9.4,20.6,30.2,4,52,74,Satisfactory,2
34.1,38,28,997.1,60,3.2,3,11.1,53.8,25,42,88,Satisfactory,2
13.1,21.2,7.3,1020.3,52,1.6,10.4,24.1,31,3.8,11.4,14,Satisfactory,2
12.8,22.3,4.8,1022.2,54,1.6,4.6,14.8,57,4.2,11.4,26,Satisfactory,2
17.2,27,8.8,1017,54,1.4,4.4,11.1,60,5,13.7,15,Satisfactory,2
16.9,28.4,8.1,1018.6,57,1.3,0.7,3.5,45,4.5,16.3,23,Satisfactory,2
17.6,27.2,9.5,1019.2,56,1.1,6.5,1.2,40,3,12.8,14,Satisfactory,2
19.1,26.5,12.8,1018.1,51,1.3,10,18.3,36,4.8,16.5,14,Satisfactory,2
18,26,11.7,1017.3,51,1.8,10.6,24.1,45,3.2,13.8,17,Satisfactory,2
18.7,27.8,12.6,1015.7,49,1.9,8.7,14.8,51,3.8,12.3,21,Satisfactory,2
17.9,29.5,11.1,1018.5,65,1.4,0.2,11.1,60,3.8,13.7,25,Satisfactory,2
25.8,33.9,16.5,1009.1,42,1.9,3.5,11.1,55,2.7,9.5,19,Satisfactory,2
32.7,39.7,24.9,1002.4,52,1.9,6.9,14.8,55,3.8,14.3,25,Satisfactory,2
30.6,37.6,19.2,1000.2,55,2.6,3,11.1,49,4.3,12.5,18,Satisfactory,2
30.6,35.6,23.8,1001.5,59,2.7,5,14.8,42,4.3,13,19,Satisfactory,2
34.3,39.6,25,997.4,52,1.9,2,7.6,55,4.3,11,24,Satisfactory,2
