Seq,Type,depth,ph,conductivity,carbon,nitrogen,phosphorus,potassium,WHC,porosity,class
1,KGRFB-Teak,2,5.6,160,0.76,49.4,52.42,399,46.9,47.2,MedFertile
2,K Ghat Sal Forest,2,5.6,60,0.76,49.4,52.42,349,59.65,51.45,MedFertile
3,KGRFB-Teak,2,5.65,160,0.78,48.77,50.14,390,47.2,46.3,MedFertile
4,KGRFB-Teak,2,5.65,155,0.77,50.4,48.32,400,47.4,46.8,MedFertile
5,K Ghat Sal Forest,2,5.65,55,0.765,50.4,48.32,400,55.03,44.95,MedFertile
6,KGRFB-Teak,2,5.7,165,0.8,46.5,49.67,380,46.85,46.5,MedFertile
7,K Ghat Teak Forest,4,5.7,95,0.86,48.5,46,1700,44.08,57.72,MedFertile
8,KGRFB-Mix,4,5.7,95,0.86,48.5,46,1730,43,38.9,MedFertile
9,KGRFB-Teak,4,5.7,75,0.23,39.2,41.6,340,41.32,40.3,MedFertile
10,K Ghat Sal Forest,2,5.7,65,0.8,46.5,49.67,430,52.65,46.8,MedFertile
11,K Ghat Sal Forest,4,5.7,45,0.225,39.2,41.6,400,42.23,47.4,MedFertile
12,KGRFB-Teak,3,5.72,90,0.59,39.2,30.88,365,43.2,43.2,MedFertile
13,KGRFB-Mix,4,5.72,90,0.84,51.2,46,1760,43.1,39,MedFertile
14,K Ghat Teak Forest,4,5.72,85,0.82,54.7,47.8,1650,42.8,54.5,MedFertile
15,KGRFB-Mix,4,5.72,85,0.82,54.7,47.8,1740,43.4,39.3,MedFertile
16,K Ghat Sal Forest,3,5.72,50,0.585,39.2,30.88,400,39.23,38.42,MedFertile
17,KGRFB-Teak,3,5.75,95,0.65,41.8,34.68,320,44.3,43.6,MedFertile
18,KGRFB-Mix,4,5.75,90,0.83,50.4,44.48,1770,43.2,38.7,MedFertile
19,K Ghat Teak Forest,4,5.75,90,0.825,50.4,44.48,1900,59.24,54.4,MedFertile
20,K Ghat Sal Forest,3,5.75,55,0.65,41.8,34.68,320,45.86,32.25,MedFertile
21,KGRFB-Teak,3,5.76,90,0.62,39.4,32.93,340,43,43,MedFertile
22,KGRFB-Mix,3,5.78,100,1.25,72.8,48.64,1910,47.3,41.6,MedFertile
23,K Ghat Teak Forest,3,5.78,100,1.25,72.8,48.64,2000,63.09,51.02,MedFertile
24,KGRFB-Teak,4,5.78,70,0.26,37.33,41.67,330,41.45,40.7,MedFertile
25,K Ghat Teak Forest,2,5.8,130,1.38,78.4,56.45,2450,55.2,42.24,MedFertile
26,KGRFB-Mix,2,5.8,130,1.38,78.4,56.45,2640,50.3,45.1,MedFertile
27,K Ghat Teak Forest,3,5.8,90,1.3,70.6,52.24,1800,60.76,57.3,MedFertile
28,KGRFB-Mix,3,5.8,90,1.3,70.6,52.24,1870,47.7,42,MedFertile
29,KGRFB-Teak,3,5.8,85,0.62,37.2,33.24,335,43.5,43.8,MedFertile
30,KGRFB-Teak,4,5.8,55,0.26,38.6,43.56,300,41.25,40.4,MedFertile
31,K Ghat Sal Forest,4,5.8,50,0.26,38.6,43.56,300,57.42,35.44,MedFertile
32,K Ghat Sal Forest,3,5.8,45,0.62,37.2,33.24,300,36.95,45.22,MedFertile
33,KGRFB-Mix,3,5.81,120,1.3,70.6,51.78,1880,47.4,42.2,MedFertile
34,KGRFB-Mix,2,5.85,125,1.38,75.6,56,2650,50.5,44.9,MedFertile
35,KGRFB-Mix,2,5.85,120,1.42,72.8,57.4,2630,50.1,45.3,MedFertile
36,K Ghat Teak Forest,2,5.85,120,1.42,72.8,57.4,2800,54.72,47.43,MedFertile
37,K Ghat Teak Forest,3,5.85,110,1.36,68.4,54.46,1840,64.1,54.58,MedFertile
38,KGRFB-Mix,3,5.85,110,1.36,68.4,54.46,1860,47.8,41.8,MedFertile
39,KGRFB-Teak,4,5.85,60,0.28,34.2,39.85,341,41.44,41,MedFertile
40,K Ghat Sal Forest,4,5.85,40,0.28,34.2,39.85,281,51.39,48.33,MedFertile
41,K Ghat Grass land,1,5.9,135,1.16,102.4,53.44,1430,60.24,40.79,MedFertile
42,KGRFB-Sal,1,5.9,135,1.16,102.4,53.44,1495,46.8,47.8,MedFertile
43,K Ghat Teak Forest,1,5.9,135,2.35,106.2,82.42,2562,63.24,43.79,MedFertile
44,KGRFB-Mix,1,5.9,135,2.35,106.2,82.42,2762,53.5,49,MedFertile
45,KGRFB-Mix,2,5.9,125,1.35,75.6,54.28,2680,50.4,44.7,MedFertile
46,K Ghat Teak Forest,2,5.9,125,1.35,75.6,54.28,2700,56.9,47.36,MedFertile
47,KGRFB-Sal,1,5.95,135,1.12,98.6,50.33,1510,46.75,48,MedFertile
48,KGRFB-Sal,1,5.95,130,1.08,95.2,48,1515,46.52,48.5,MedFertile
49,K Ghat Grass land,1,5.95,130,1.08,95.2,48,1600,67.8,42.9,MedFertile
50,K Ghat Grass land,1,6,140,1.12,98.2,50.16,1500,60.25,39.94,MedFertile
51,KGRFB-Sal,1,6,140,1.12,98.2,50.16,1520,47.24,48.2,MedFertile
52,KGRFB-Mix,1,6,135,2.26,107.7,80.13,2750,54,48.5,MedFertile
53,KGRFB-Mix,1,6,130,2.19,106.4,77.4,2765,53.6,48.4,MedFertile
54,K Ghat Teak Forest,1,6,130,2.19,106.4,77.4,3000,72.8,47.9,MedFertile
55,K Ghat Teak Forest,1,6.1,140,2.24,110.5,80.56,2700,64.25,43.94,MedFertile
56,KGRFB-Mix,1,6.1,140,2.24,110.5,80.56,2735,53.7,48.2,MedFertile
57,K Ghat Sal Forest,1,6.2,180,0.92,60.2,42.65,621,49.6,51.76,MedFertile
58,KGRFB-Teak,1,6.2,180,0.92,60.2,42.65,696,51.5,50,MedFertile
59,KGRFB-Teak,1,6.25,185,0.93,58.27,39.49,710,51.3,49.5,MedFertile
60,KGRFB-Teak,1,6.25,185,0.9,56,36.48,725,51.2,49.6,MedFertile
61,K Ghat Sal Forest,1,6.25,185,0.9,56,36.48,800,55,52.75,MedFertile
62,KGRFB-Sal,2,6.27,140,0.59,56,41.28,1440,44.22,44.2,MedFertile
63,K Ghat Grass land,2,6.27,140,0.585,56,41.28,1600,52.72,45.43,MedFertile
64,K Ghat Sal Forest,1,6.3,190,0.98,58.6,39.35,700,58.65,45,MedFertile
65,KGRFB-Teak,1,6.3,190,0.98,58.6,39.35,700,51.25,49.8,MedFertile
66,K Ghat Grass land,2,6.3,150,0.62,61,39.58,1400,51.9,42.36,MedFertile
67,KGRFB-Sal,2,6.3,150,0.62,61,39.58,1430,43.87,44.5,MedFertile
68,KGRFB-Sal,2,6.31,145,0.62,58.4,41.44,1450,41.36,45,MedFertile
69,K Ghat Grass land,2,6.35,145,0.65,58.2,43.45,1350,51.2,38.24,MedFertile
70,KGRFB-Sal,2,6.35,145,0.65,58.2,43.45,1420,44.15,44.7,MedFertile
71,Rosery,1,6.52,530,1.71,180,68.74,300,68.7,60,lowfertile
72,Bamboo,1,6.75,230,1.4,107,17.14,380,55.3,52,lowfertile
73,KGRFB-Sal,3,6.75,185,0.51,50.4,44.48,1050,42.34,41.6,MedFertile
74,K Ghat Grass land,3,6.75,185,0.51,50.4,44.48,1200,60.09,48.02,MedFertile
75,K Ghat Grass land,3,6.8,190,0.54,48.4,41.65,1000,59.76,56.3,MedFertile
76,KGRFB-Sal,3,6.8,190,0.54,48.4,41.65,1015,42.18,41.3,MedFertile
77,KGRFB-Sal,3,6.8,190,0.54,47.97,42.33,1030,42,42,MedFertile
78,Rosery,1,6.85,360,2.05,175,72.65,275,66.3,60,lowfertile
79,K Ghat Grass land,3,6.85,195,0.56,45.1,40.86,890,59.1,49.58,MedFertile
80,KGRFB-Sal,3,6.85,195,0.56,45.1,40.86,1025,42.56,41.5,MedFertile
81,Rosery,2,7,600,1.5,155,44.68,300,60.3,54,lowfertile
82,Bambooculture,1,7,170,1.02,94.8,27,385,43.56,47.8,highfertile
83,Bamboo,1,7,170,0.45,84.8,19,385,59.2,56,lowfertile
84,Bambooculture,1,7,170,1.02,94.8,27,385,43.56,47.8,highfertile
85,Rosery,1,7.05,355,1.87,185,63.24,250,62.5,57,lowfertile
86,Auriculiformis,1,7.06,170,0.915,66,15.3,230,54.2,44,highfertile
87,Auriculiformis,1,7.06,170,0.915,66,15.3,230,54.2,44,highfertile
88,Auriculiformis,1,7.06,170,0.915,66,15.3,230,54.2,44,highfertile
89,BRC Leg-25,1,7.1,365,0.79,68.67,30.2,477,45,48.67,MedFertile
90,Bambooculture,1,7.1,220,0.95,101,26.3,400,42.85,47.4,highfertile
91,Bamboo,1,7.1,220,1.2,101,14.3,400,57.7,56,lowfertile
92,Bambooculture,1,7.1,220,0.95,101,26.3,400,42.85,47.4,highfertile
93,ProsopisJ ,1,7.1,210,0.85,80.8,25.12,350,51.6,47,highfertile
94,ProsopisJ ,1,7.1,210,0.85,80.8,25.12,350,51.6,47,highfertile
95,ProsopisJ ,1,7.1,210,0.85,80.8,25.12,350,51.6,47,highfertile
96,Auriculiformis,1,7.1,155,0.825,67.2,17.2,250,53.3,45,highfertile
97,Auriculiformis,1,7.1,155,0.825,67.2,17.2,250,53.3,45,highfertile
98,Auriculiformis,1,7.1,155,0.825,67.2,17.2,250,53.3,45,highfertile
99,Bambooculture,1,7.13,200,1.1,105,26.5,390,43,47.6,highfertile
100,Bambooculture,1,7.13,200,1.1,105,26.5,390,43,47.6,highfertile
101,Auriculiformis,1,7.15,165,0.9,72.8,19.1,220,51.8,46,highfertile
102,Auriculiformis,1,7.15,165,0.9,72.8,19.1,220,51.8,46,highfertile
103,Auriculiformis,1,7.15,165,0.9,72.8,19.1,220,51.8,46,highfertile
104,BRC Leg-25,1,7.18,350,0.77,76.53,35.11,475,47,47.8,MedFertile
105,Bambooculture,1,7.18,230,1.08,107,27.14,381,42.4,47,highfertile
106,Bambooculture,1,7.18,230,1.08,107,27.14,381,42.4,47,highfertile
107,Rosery,2,7.2,430,1.8,140,48.72,250,58.7,51,lowfertile
108,ProsopisJ ,1,7.2,205,0.64,76,23.2,380,52.5,45,highfertile
109,ProsopisJ ,1,7.2,205,0.64,76,23.2,380,52.5,45,highfertile
110,ProsopisJ ,1,7.2,205,0.64,76,23.2,380,52.5,45,highfertile
111,ProsopisJ ,1,7.25,200,0.82,72.8,23.2,400,54,49,highfertile
112,ProsopisJ ,1,7.25,200,0.82,72.8,23.2,400,54,49,highfertile
113,ProsopisJ ,1,7.25,200,0.82,72.8,23.2,400,54,49,highfertile
114,Bambooculture,2,7.4,280,0.69,54.6,22,324,45.2,45.3,highfertile
115,Bambooculture,2,7.4,280,0.69,54.6,22,324,45.2,45.3,highfertile
116,Bamboo,2,7.4,280,1.1,61.6,12,325,46.67,47.67,lowfertile
117,Bougainvillea,1,7.4,240,0.66,112,42.72,625,50.4,51,lowfertile
118,Rosery,2,7.5,475,1.65,140,51.23,250,59.5,54,lowfertile
119,Bambooculture,2,7.5,260,0.78,55.7,22.5,330,45.8,45,highfertile
120,Bambooculture,2,7.5,260,0.78,55.7,22.5,330,45.8,45,highfertile
121,s-3,1,7.5,220,0.995,47.4,35.28,475,52.89,55.31,MedFertile
122,ProsopisJ ,2,7.51,205,0.41,49.2,15.52,275,49.7,43,highfertile
123,ProsopisJ ,2,7.51,205,0.41,49.2,15.52,275,49.7,43,highfertile
124,ProsopisJ ,2,7.51,205,0.41,49.2,15.52,275,49.7,43,highfertile
125,Bougainvillea,1,7.55,250,0.675,106.4,42.88,600,45.6,46,lowfertile
126,Manmade-s3,1,7.56,265,1.43,84,49.6,1060,52.8,49.6,MedFertile
127,K Ghat Mix forest,1,7.56,265,1.425,84,49.6,1200,56,53.75,MedFertile
128,Rosery,3,7.6,710,1,127,35.42,260,53.2,50,lowfertile
129,BRC Leg-25,2,7.6,550,0.36,53.33,27.68,325,44,44,MedFertile
130,Bougainvillea,1,7.6,300,0.93,118.4,44.8,625,50.3,48,lowfertile
131,Bambooculture,2,7.6,270,0.75,56,22.2,340,46.2,44.8,highfertile
132,Bamboo,2,7.6,270,0.8,56,10,340,50,47,lowfertile
133,Bambooculture,2,7.6,270,0.75,56,22.2,340,46.2,44.8,highfertile
134,K Ghat Mix forest,1,7.6,270,1.46,87.2,54.28,900,63.65,50,MedFertile
135,Manmade-s3,1,7.6,270,1.44,87.2,54.28,1050,53,49.2,MedFertile
136,Manmade-s3,1,7.6,270,1.43,84.6,52.16,1050,53.4,48.6,MedFertile
137,NFS-Banthra-3,1,7.6,210,1.09,81.4,31.6,500,49.7,47.3,MedFertile
138,M Md F S-1,1,7.6,210,1.088,41.4,29.6,500,43,39,lowfertile
139,S-1,1,7.6,210,0.75,41.4,29.6,525,54,47,MedFertile
140,ProsopisJ ,2,7.6,195,0.4,56,16,255,47.5,45,highfertile
141,ProsopisJ ,2,7.6,195,0.4,56,16,255,47.5,45,highfertile
142,ProsopisJ ,2,7.6,195,0.4,56,16,255,47.5,45,highfertile
143,Manmade-s3,1,7.64,275,1.42,82.6,52.6,1040,53.2,49.5,MedFertile
144,K Ghat Mix forest,1,7.64,275,1.4,82.6,52.6,1050,53.6,55.76,MedFertile
145,S-1,1,7.65,205,0.78,40.66,27.52,450,51.2,49.4,MedFertile
146,NFS-Banthra-3,1,7.65,205,0.92,80.66,29.52,470,49.6,46.5,MedFertile
147,M Md F S-1,1,7.65,205,0.916,40.66,27.52,470,41.5,37,lowfertile
148,Bambooculture,2,7.7,250,0.71,51.8,23,350,45.6,45.2,highfertile
149,Bamboo,2,7.7,250,0.24,44.8,15,350,56.2,53,lowfertile
150,Bambooculture,2,7.7,250,0.71,51.8,23,350,45.6,45.2,highfertile
151,Manmade-S-2,1,7.7,225,1.35,88.6,35.67,520,51.2,49.4,MedFertile
152,M Md F S-3,1,7.7,225,1.35,44.6,33.56,520,36.7,37,lowfertile
153,s-3,1,7.7,225,0.95,44.6,35.66,550,52.62,54.33,MedFertile
154,S-1,1,7.7,210,0.675,42.75,28.48,475,50.54,50,MedFertile
155,NFS-Banthra-3,1,7.7,210,0.98,82.75,30.5,480,50.1,46.6,MedFertile
156,M Md F S-1,1,7.7,210,0.976,42.75,28.48,480,48.6,44,lowfertile
157,ProsopisJ ,2,7.7,200,0.5,54.8,16.2,300,48.3,44,highfertile
158,ProsopisJ ,2,7.7,200,0.5,54.8,16.2,300,48.3,44,highfertile
159,ProsopisJ ,2,7.7,200,0.5,54.8,16.2,300,48.3,44,highfertile
160,S-1,1,7.75,220,0.685,38,25.72,500,51.02,54,MedFertile
161,NFS-Banthra-3,1,7.75,215,0.99,79.6,32.3,485,50.2,46.2,MedFertile
162,Rosery,3,7.8,540,1.3,99,37.8,240,51.7,50,lowfertile
163,Bougainvillea,2,7.8,320,0.4,72.8,42.88,460,43.5,43,lowfertile
164,AcaciaFAO,1,7.8,270,0.72,50.4,23.6,525,46.7,43,MedFertile
165,s-3,1,7.8,245,0.95,44.85,34.4,475,52.19,54.44,MedFertile
166,Manmade-S-2,1,7.8,245,1.41,84.85,36.76,485,51.4,48.5,MedFertile
167,M Md F S-3,1,7.8,245,1.41,44.85,34.4,485,51.2,47,lowfertile
168,s-3,1,7.8,240,1.13,46.35,36.12,500,52.73,54.43,MedFertile
169,ProsopisJ ,3,7.8,235,0.3,42.42,10.24,200,44.3,40,highfertile
170,ProsopisJ ,3,7.8,235,0.3,42.42,10.24,200,44.3,40,highfertile
171,ProsopisJ ,3,7.8,235,0.3,42.42,10.24,200,44.3,40,highfertile
172,Manmade-S-2,1,7.8,230,1.33,85.62,37.42,500,51.3,48.8,MedFertile
173,Manmade-S-2,1,7.8,220,1.24,87.4,34.38,495,51.5,48.5,MedFertile
174,M Md F S-3,1,7.8,220,1.24,47.4,32.28,495,37.6,35,lowfertile
175,Plot-31 AC,1,7.83,450,0.63,34,36.56,300,42,42,lowfertile
176,BRC Leg-25,1,7.83,375,0.74,68.67,22.72,460,45,46.33,MedFertile
177,ProsopisJ ,3,7.85,230,0.22,39.28,9.42,200,43.7,38,highfertile
178,ProsopisJ ,3,7.85,230,0.22,39.28,9.42,200,43.7,38,highfertile
179,ProsopisJ ,3,7.85,230,0.22,39.28,9.42,200,43.7,38,highfertile
180,S-2,1,7.85,185,0.76,39,31.72,375,50.99,52.8,MedFertile
181,Manmade S-1,1,7.85,185,1.14,79,31.72,375,48.1,47.2,MedFertile
182,BRC Leg-25,3,7.87,630,0.26,36.5,22.07,305,38.6,40,MedFertile
183,Auriculiformis,2,7.87,160,0.3,52.4,17.6,200,47.4,42,highfertile
184,Auriculiformis,2,7.87,160,0.3,52.4,17.6,200,47.4,42,highfertile
185,Auriculiformis,2,7.87,160,0.3,52.4,17.6,200,47.4,42,highfertile
186,BRC Leg-25,1,7.88,355,0.73,66.67,22.29,500,45.33,47.4,MedFertile
187,Plot-31 AC,2,7.89,570,0.24,22,17.92,250,53.2,47,lowfertile
188,Bougainvillea,2,7.9,335,0.45,73,40,465,50.6,51,lowfertile
189,Manmade S-1,1,7.9,220,1.07,83,33.4,370,48.2,47.6,MedFertile
190,S-2,1,7.9,210,0.835,41.81,30.8,350,51.4,53.27,MedFertile
191,M Md F S-2,1,7.9,185,1.136,39,31.72,375,51.7,50,lowfertile
192,Plot-42 AC,1,7.95,345,0.36,28.5,19.59,250,55.3,50,lowfertile
193,ProsopisJ ,3,7.95,230,0.26,45.8,14.4,250,45.5,42,highfertile
194,ProsopisJ ,3,7.95,230,0.26,45.8,14.4,250,45.5,42,highfertile
195,ProsopisJ ,3,7.95,230,0.26,45.8,14.4,250,45.5,42,highfertile
196,S-2,2,7.96,250,0.38,28.1,22.6,250,51.63,50.23,MedFertile
197,Manmade S-1,2,7.96,250,0.4,62.1,22.6,250,45.1,45.1,MedFertile
198,Plot-31 AC,3,7.97,800,0.135,15.2,20.8,200,42.8,38,lowfertile
199,s-3,2,7.98,260,0.36,35.21,24.6,450,53.18,51.41,MedFertile
200,Manmade-S-2,2,7.98,250,0.46,64.7,24.86,385,48,45.7,MedFertile
201,Rosery,3,8,550,1.2,115,30.24,250,57.3,54,lowfertile
202,Plot-42 BC,1,8,485,0.342,25.58,19.6,275,40.4,41,lowfertile
203,BRC Leg-15,1,8,425,0.65,48.53,24.49,485,44,43,MedFertile
204,Bamboo,3,8,410,0.7,41,9,282,52.33,49,lowfertile
205,S-2,4,8,380,0.16,9.8,15.8,140,55.2,53.8,MedFertile
206,Bougainvillea,2,8,380,0.68,72.8,42.4,450,52.7,51,lowfertile
207,Plot-18 AUC,1,8,380,0.315,19.6,19.24,550,58.65,58.21,lowfertile
208,Plot-42 AC,1,8,370,0.555,29.6,22.56,260,38.7,41,lowfertile
209,Plot-43 BC,1,8,330,0.46,32.3,16.071,425,53.6,48,lowfertile
210,AcaciaFAO,1,8,270,0.88,50.4,25.76,505,47,40,MedFertile
211,M Md F S-2,2,8,250,0.4,28.1,22.6,250,51,47,lowfertile
212,K Ghat Mix forest,2,8,250,1.1,64.1,52.3,700,54.65,48.8,MedFertile
213,Manmade-s3,2,8,250,1.1,64.1,52.3,715,49.1,46.5,MedFertile
214,M Md F S-3,2,8,245,0.45,33,23.2,375,49.1,47,lowfertile
215,K Ghat Mix forest,2,8,245,1,59.8,50.2,681,60.65,52.45,MedFertile
216,Manmade-s3,2,8,245,1,59.8,50.2,731,49.4,46.1,MedFertile
217,S-2,1,8,190,0.81,44.6,30.16,350,50.7,53.4,MedFertile
218,Manmade S-1,1,8,190,1.13,84.6,30.16,350,47.6,47.3,MedFertile
219,M Md F S-2,1,8,190,1.126,44.6,30.16,350,40.5,42,lowfertile
220,Jatropha curcas ,1,8,110,0.48,78.4,40.8,160,54.65,56.21,MedFertile
221,S N Mix Forest,1,8.02,328,0.92,77.25,34.08,419,43.75,47.65,highfertile
222,S N Mix Forest,1,8.02,328,0.92,77.25,34.08,419,43.75,47.65,highfertile
223,S N Mix Forest,1,8.02,328,0.92,77.25,34.08,419,43.75,47.65,highfertile
224,s-3,2,8.02,245,0.45,33,25.2,375,53.26,51.47,MedFertile
225,Manmade-S-2,2,8.02,245,0.45,63,24.56,375,48.6,45.3,MedFertile
226,Manmade-s3,2,8.02,245,1.03,61.83,50.55,727,49,45.5,MedFertile
227,S N Mix Forest,1,8.05,330,0.96,76.43,35.07,422,43.58,47.57,highfertile
228,S N Mix Forest,1,8.05,330,0.96,76.43,35.07,422,43.58,47.57,highfertile
229,S N Mix Forest,1,8.05,330,0.96,76.43,35.07,422,43.58,47.57,highfertile
230,Manmade-s3,2,8.05,240,0.98,61.6,49.16,735,49.2,46.3,MedFertile
231,K Ghat Mix forest,2,8.05,240,0.975,61.6,49.16,800,58.03,47.95,MedFertile
232,S-2,1,8.05,205,0.82,40.42,29.66,375,51.64,53.4,MedFertile
233,Manmade S-1,1,8.05,205,0.95,85.42,29.65,375,47.8,47.7,MedFertile
234,Jatropha curcas ,1,8.05,115,0.5,81.4,37.5,180,54.13,42.97,MedFertile
235,BRC Leg-25,2,8.06,570,0.33,49.2,22.57,330,42,44.5,MedFertile
236,S N Mix Forest,1,8.08,325,0.98,77.67,34.09,424,43.4,47.91,highfertile
237,S N Mix Forest,1,8.08,325,0.98,77.67,34.09,424,43.4,47.91,highfertile
238,S N Mix Forest,1,8.08,325,0.98,77.67,34.09,424,43.4,47.91,highfertile
239,s-3,2,8.08,265,0.33,33.5,24.4,400,52.6,51.77,MedFertile
240,NFS-Bannthra-2,1,8.1,490,0.92,83.6,32.28,410,48.5,48.6,MedFertile
241,NFS-3,1,8.1,490,1.075,83.6,32.28,410,60.39,55.33,lowfertile
242,Bamboo,3,8.1,400,0.45,35,8,290,46.67,44.89,lowfertile
243,Plot-28 BC,1,8.1,356,0.66,22.3,10.5,312.5,37.7,41,lowfertile
244,S N Mix Forest,1,8.1,317,0.97,76.93,34.35,415,43.06,47.32,highfertile
245,S N Mix Forest,1,8.1,317,0.97,76.93,34.35,415,43.06,47.32,highfertile
246,S N Mix Forest,1,8.1,317,0.97,76.93,34.35,415,43.06,47.32,highfertile
247,Plot-43 BC,2,8.1,315,0.195,25.6,12.054,337.5,45.5,44,lowfertile
248,K Ghat Grass land,4,8.1,290,0.5,48.6,42.36,680,41.08,54.72,MedFertile
249,KGRFB-Sal,4,8.1,290,0.5,48.6,42.36,730,40.86,38.4,lowfertile
250,M Md F S-3,3,8.1,285,0.28,18.12,20.8,300,52.7,50,lowfertile
251,s-3,3,8.1,280,0.205,23.7,19.2,300,52.06,56.32,MedFertile
252,Manmade-S-2,3,8.1,280,0.24,53.7,21.2,300,44.3,44.1,MedFertile
253,M Md F S-3,3,8.1,280,0.24,23.7,19.2,300,42.4,45,lowfertile
254,Horticulture,1,8.1,270,0.61,67.73,40,460,41.7,44.4,MedFertile
255,Equisitifolia ,1,8.1,255,0.81,54.8,21.3,250,51.3,47,highfertile
256,Equisitifolia ,1,8.1,255,0.81,54.8,21.3,250,51.3,47,highfertile
257,Equisitifolia ,1,8.1,255,0.81,54.8,21.3,250,51.3,47,highfertile
258,Plot-42 BC,2,8.1,245,0.27,16.94,10.2,262.5,32.6,33,lowfertile
259,s-3,2,8.1,240,0.345,37.6,24.2,375,53.31,51.48,MedFertile
260,Manmade-S-2,2,8.1,240,0.45,67.6,25.4,375,47.8,46,MedFertile
261,M Md F S-3,2,8.1,240,0.445,37.6,24.2,375,58,53,lowfertile
262,S-2,2,8.1,235,0.36,30,23.44,276,50.97,50.27,MedFertile
263,Manmade S-1,2,8.1,235,0.39,60,21.44,276,45.4,44.2,MedFertile
264,M Md F S-2,2,8.1,235,0.39,30,21.44,276,46.3,44,lowfertile
265,Manmade-s3,3,8.1,210,0.72,50.4,40.8,660,45.5,42.4,MedFertile
266,K Ghat Mix forest,3,8.1,210,0.72,50.4,40.8,700,44.23,43.42,MedFertile
267,M Md F S-2,1,8.1,205,0.95,40.42,24.66,375,38.4,40,lowfertile
268,K Ghat Mix forest,3,8.1,200,0.76,48.2,43.48,629,39.95,48.22,MedFertile
269,Manmade-s3,3,8.1,200,0.76,48.2,43.48,629,45.3,42.8,MedFertile
270,Auriculiformis,2,8.1,155,0.32,48.6,13.9,150,46.2,43,highfertile
271,Auriculiformis,2,8.1,155,0.32,48.6,13.9,150,46.2,43,highfertile
272,Auriculiformis,2,8.1,155,0.32,48.6,13.9,150,46.2,43,highfertile
273,Jatropha curcas ,1,8.1,120,0.45,75.4,42.16,194,58.73,42.08,MedFertile
274,Silviculture,1,8.12,372,0.67,59.6,25.09,416,43.19,45.44,highfertile
275,Silviculture,1,8.12,372,0.67,59.6,25.09,416,43.19,45.44,highfertile
276,Silviculture,1,8.12,372,0.67,59.6,25.09,416,43.19,45.44,highfertile
277,s-3,3,8.12,285,0.28,18.12,20.8,300,52.4,56.91,MedFertile
278,Manmade-S-2,3,8.12,285,0.28,48.12,21,300,44.5,43.4,MedFertile
279,BRCnonleg-25,1,8.13,350,0.96,86.4,29.6,430,47.6,48.68,MedFertile
280,NFS-1,1,8.13,350,0.87,86.4,29.6,430,50.89,58.2,lowfertile
