Time,ARIMA,TBATS
1,167.762003,163.0899547
2,167.8790793,157.6273955
3,167.7768848,152.5166104
4,167.8515635,147.7319217
5,167.7835687,143.2497451
6,167.8306605,139.0484037
7,167.7849185,135.1079606
8,167.8140602,131.4100662
9,167.7827975,127.9378202
10,167.8002596,124.675646
11,167.7784182,121.6091774
12,167.7882807,118.7251546
13,167.7725694,116.0113311
14,167.777487,113.4563874
15,167.7657645,111.0498543
16,167.7674647,108.7820416
17,167.7583375,106.643974
18,167.7579441,104.6273327
19,167.7505057,102.7244017
20,167.7487501,100.9280193
21,167.7424105,99.23153354
22,167.7397686,97.62876181
23,167.7341439,96.11395375
24,167.7309253,94.68175735
25,167.7257658,93.32718808
26,167.7221719,92.04560051
27,167.7173152,90.83266243
28,167.7134771,89.68433108
29,167.7088173,88.5968314
30,167.7048203,87.56663607
31,167.7002887,86.59044719
32,167.6961884,85.66517946
33,167.6917401,84.78794475
34,167.6875725,83.95603786
35,167.6831786,83.16692348
36,167.6789672,82.41822415
37,167.6746085,81.70770919
38,167.6703687,81.03328447
39,167.666033,80.39298302
40,167.6617746,79.7849563
41,167.6574538,79.20746622
42,167.6531834,78.65887767
43,167.6488724,78.13765172
44,167.6445941,77.64233922
45,167.6402894,77.17157497
46,167.636006,76.72407224
47,167.6317054,76.29861775
48,167.6274187,75.89406699
49,167.6231208,75.50933984
50,167.6188319,75.14341657
51,167.6145358,74.79533408
52,167.6102455,74.46418239
53,167.6059505,74.14910142
54,167.6016593,73.84927796
55,167.597365,73.56394282
56,167.5930732,73.29236825
57,167.5887794,73.03386545
58,167.5844872,72.78778231
59,167.5801937,72.55350123
60,167.5759013,72.33043719
61,167.571608,72.11803579
62,167.5673154,71.91577158
63,167.5630223,71.72314639
64,167.5587295,71.53968777
65,167.5544365,71.36494761
66,167.5501437,71.19850073
67,167.5458507,71.03994366
68,167.5415579,70.88889342
69,167.5372649,70.74498641
70,167.5329721,70.60787738
71,167.5286791,70.47723843
72,167.5243862,70.35275804
73,167.5200933,70.23414028
74,167.5158004,70.12110393
75,167.5115075,70.01338168
76,167.5072146,69.91071949
77,167.5029217,69.81287579
78,167.4986288,69.71962092
79,167.4943359,69.63073647
80,167.490043,69.54601471
81,167.4857501,69.46525803
82,167.4814572,69.38827847
83,167.4771643,69.31489715
84,167.4728714,69.24494389
85,167.4685785,69.17825673
86,167.4642856,69.11468152
87,167.4599927,69.05407154
88,167.4556998,68.99628712
89,167.4514069,68.94119528
90,167.447114,68.88866943
91,167.442821,68.83858901
92,167.4385281,68.79083923
93,167.4342352,68.74531078
94,167.4299423,68.70189955
95,167.4256494,68.66050636
96,167.4213565,68.62103675
97,167.4170636,68.58340076
98,167.4127707,68.54751267
99,167.4084778,68.51329081
100,167.4041849,68.48065738
101,167.399892,68.44953825
102,167.3955991,68.41986279
103,167.3913062,68.39156369
104,167.3870133,68.3645768
105,167.3827204,68.33884102
106,167.3784275,68.31429808
107,167.3741346,68.29089247
108,167.3698417,68.26857127
109,167.3655488,68.24728407
110,167.3612559,68.22698278
111,167.356963,68.20762158
112,167.3526701,68.18915681
113,167.3483772,68.17154683
114,167.3440843,68.15475194
115,167.3397913,68.13873433
116,167.3354984,68.1234579
117,167.3312055,68.10888828
118,167.3269126,68.09499269
119,167.3226197,68.08173987
120,167.3183268,68.06910002
121,167.3140339,68.05704473
122,167.309741,68.0455469
123,167.3054481,68.03458071
124,167.3011552,68.02412154
125,167.2968623,68.01414589
126,167.2925694,68.00463138
127,167.2882765,67.99555666
128,167.2839836,67.98690136
129,167.2796907,67.97864607
130,167.2753978,67.97077229
131,167.2711049,67.96326234
132,167.266812,67.95609941
133,167.2625191,67.94926744
134,167.2582262,67.94275111
135,167.2539333,67.93653583
136,167.2496404,67.93060768
137,167.2453475,67.92495337
138,167.2410545,67.91956025
139,167.2367616,67.91441624
140,167.2324687,67.90950982
141,167.2281758,67.90483001
142,167.2238829,67.90036633
143,167.21959,67.8961088
144,167.2152971,67.89204789
145,167.2110042,67.88817451
146,167.2067113,67.88447999
147,167.2024184,67.88095608
148,167.1981255,67.87759488
149,167.1938326,67.87438888
150,167.1895397,67.87133091
151,167.1852468,67.86841414
152,167.1809539,67.86563203
153,167.176661,67.86297837
154,167.1723681,67.86044723
155,167.1680752,67.85803295
156,167.1637823,67.85573012
157,167.1594894,67.85353361
158,167.1551965,67.85143849
159,167.1509036,67.8494401
160,167.1466107,67.84753396
161,167.1423178,67.84571581
162,167.1380248,67.84398159
163,167.1337319,67.84232742
164,167.129439,67.84074961
165,167.1251461,67.83924464
166,167.1208532,67.83780913
167,167.1165603,67.83643988
168,167.1122674,67.83513384
169,167.1079745,67.83388807
170,167.1036816,67.83269982
171,167.0993887,67.8315664
172,167.0950958,67.8304853
173,167.0908029,67.8294541
174,167.08651,67.8284705
175,167.0822171,67.82753229
176,167.0779242,67.82663739
177,167.0736313,67.82578379
178,167.0693384,67.82496959
179,167.0650455,67.82419297
180,167.0607526,67.82345219
181,167.0564597,67.8227456
182,167.0521668,67.82207162
183,167.0478739,67.82142875
184,167.043581,67.82081555
185,167.0392881,67.82023065
186,167.0349951,67.81967274
187,167.0307022,67.81914058
188,167.0264093,67.81863298
189,167.0221164,67.81814881
190,167.0178235,67.81768699
191,167.0135306,67.81724647
192,167.0092377,67.81682629
193,167.0049448,67.8164255
194,167.0006519,67.8160432
195,166.996359,67.81567855
196,166.9920661,67.81533073
197,166.9877732,67.81499896
198,166.9834803,67.8146825
199,166.9791874,67.81438065
200,166.9748945,67.81409272
201,166.9706016,67.81381809
202,166.9663087,67.81355613
203,166.9620158,67.81330625
204,166.9577229,67.81306791
205,166.95343,67.81284057
206,166.9491371,67.81262372
207,166.9448442,67.81241688
208,166.9405513,67.81221958
209,166.9362584,67.81203139
210,166.9319654,67.81185188
211,166.9276725,67.81168066
212,166.9233796,67.81151734
213,166.9190867,67.81136155
214,166.9147938,67.81121296
215,166.9105009,67.81107122
216,166.906208,67.81093602
217,166.9019151,67.81080707
218,166.8976222,67.81068406
219,166.8933293,67.81056673
220,166.8890364,67.81045482
221,166.8847435,67.81034807
222,166.8804506,67.81024624
223,166.8761577,67.81014912
224,166.8718648,67.81005647
225,166.8675719,67.80996811
226,166.863279,67.80988382
227,166.8589861,67.80980342
228,166.8546932,67.80972673
229,166.8504003,67.80965358
230,166.8461074,67.8095838
231,166.8418145,67.80951725
232,166.8375216,67.80945377
233,166.8332287,67.80939321
234,166.8289357,67.80933545
235,166.8246428,67.80928036
236,166.8203499,67.80922781
237,166.816057,67.80917768
238,166.8117641,67.80912987
239,166.8074712,67.80908426
240,166.8031783,67.80904076
241,166.7988854,67.80899927
242,166.7945925,67.80895969
243,166.7902996,67.80892193
244,166.7860067,67.80888592
245,166.7817138,67.80885157
246,166.7774209,67.80881881
247,166.773128,67.80878756
248,166.7688351,67.80875775
249,166.7645422,67.80872931
250,166.7602493,67.80870219
251,166.7559564,67.80867632
252,166.7516635,67.80865165
253,166.7473706,67.80862811
254,166.7430777,67.80860566
255,166.7387848,67.80858424
256,166.7344919,67.80856381
257,166.730199,67.80854433
258,166.725906,67.80852575
259,166.7216131,67.80850802
260,166.7173202,67.80849111
261,166.7130273,67.80847498
262,166.7087344,67.80845959
263,166.7044415,67.80844492
264,166.7001486,67.80843092
265,166.6958557,67.80841757
266,166.6915628,67.80840483
267,166.6872699,67.80839269
268,166.682977,67.8083811
269,166.6786841,67.80837005
270,166.6743912,67.8083595
271,166.6700983,67.80834945
272,166.6658054,67.80833986
273,166.6615125,67.80833071
274,166.6572196,67.80832198
275,166.6529267,67.80831366
276,166.6486338,67.80830572
277,166.6443409,67.80829814
278,166.640048,67.80829092
279,166.6357551,67.80828403
280,166.6314622,67.80827745
281,166.6271693,67.80827118
282,166.6228763,67.8082652
283,166.6185834,67.8082595
284,166.6142905,67.80825406
285,166.6099976,67.80824887
286,166.6057047,67.80824392
287,166.6014118,67.8082392
288,166.5971189,67.80823469
