"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2017.497633",163.08995470755,140.792702722897,187.296533870418,129.747744141193,200.897598100797
"2017.497661",157.627395499184,125.199751883554,194.429072164121,109.75295575869,215.730267966192
"2017.497690",152.516610401833,113.92293750792,197.729120146059,96.0743651446198,224.434673959545
"2017.497718",147.731921748025,104.858586671194,199.269715498393,85.5208023927482,230.199307778399
"2017.497747",143.249745075758,97.2494145783487,199.779680307525,76.9564700823024,234.156736916686
"2017.497775",139.048403682256,90.7055628130069,199.622412569783,69.8049394399942,236.879710218542
"2017.497804",135.10796058573,84.9894099951146,199.010919712243,63.7205604711475,238.709836207543
"2017.497833",131.410066194743,79.9409133779426,198.082334301277,58.4745952824521,239.871526530258
"2017.497861",127.937820155563,75.4449674189524,196.930424729694,53.905523037775,240.521757458384
"2017.497890",124.675646001167,71.4148864087807,195.621992733934,49.8939562036243,240.775211022123
"2017.497918",121.609177363206,67.783145433342,194.206022501521,46.3486264894619,240.718338459491
"2017.497947",118.725154631784,64.4957792477508,192.719180915142,43.1979430805412,240.417844349817
"2017.497975",116.011331058894,61.508787881729,191.189319319783,40.3846031359016,239.926112314369
"2017.498004",113.456387401023,58.78571880745,189.637806261398,37.8619882840374,239.284839309066
"2017.498032",111.049854285993,56.2959769422502,188.081139270229,35.5916631833131,238.52756311241
"2017.498061",108.782041569583,54.0136052671249,186.532092313303,33.5415844859468,237.681475262467
"2017.498089",106.643974019797,51.9163812567269,185.000553179937,31.6847847805785,236.768755391669
"2017.498118",104.627332731656,49.9851320401416,183.494147389493,29.998384101693,235.807574833722
"2017.498146",102.724401733887,48.2032052267419,182.018711239943,28.4628334248133,234.812865491974
"2017.498175",100.92801930143,46.5560531571002,180.578655830272,27.0613262743624,233.796918202417
"2017.498203",99.2315335350226,45.0309015207478,179.177250744311,25.7793346212902,232.769854731523
"2017.498232",97.6287618116672,43.6164818735867,177.816847525565,24.6042382993666,231.740004459442
"2017.498260",96.1139537481264,42.3028133337047,176.499057356535,23.5250258860187,230.714208048528
"2017.498289",94.6817573540681,41.0810226672903,175.224893450262,22.5320509500058,229.698064410992
"2017.498317",93.3271880825661,39.9431947247957,173.994885937944,21.6168317224931,228.69613310891
"2017.498346",92.0456005136405,38.8822471445407,172.809175101853,20.7718851993505,227.712101345244
"2017.498374",90.8326624317491,37.8918246583428,171.667587405656,19.9905888143771,226.748922552085
"2017.498403",89.6843310808679,36.9662093763246,170.56969775019,19.2670643866204,225.808932000645
"2017.498431",88.5968314012996,36.1002442058175,169.514880621727,18.5960802074769,224.893943678975
"2017.498460",87.5666360708338,35.2892671470719,168.502352227293,17.9729680086142,224.005331793791
"2017.498488",86.5904471895637,34.5290546580076,167.531205275935,17.3935522185209,223.14409957358
"2017.498517",85.6651794627132,33.8157726278028,166.600437729972,16.8540894287778,222.310937525811
"2017.498546",84.7879447494237,33.1459337705765,165.708976590305,16.3512163901529,221.506272892338
"2017.498574",83.9560378577184,32.5163604644097,164.855697576403,15.8819051715903,220.730311725635
"2017.498603",83.1669234769517,31.9241522311102,164.039441400964,15.4434243626884,219.983074753365
"2017.498631",82.4182241490709,31.3666571885031,163.259027211653,15.0333053975366,219.264427995006
"2017.498660",81.7077091890772,30.8414469171563,162.513263670114,14.649313236127,218.574108930024
"2017.498688",81.033284473264,30.3462942729787,161.800958056228,14.2894207674967,217.911748884116
"2017.498717",80.3929830212224,29.8791537503905,161.120923718954,13.9517864027706,217.276892191549
"2017.498745",79.7849563043112,29.4381440610649,160.471986140841,13.6347344113107,216.669012602673
"2017.498774",79.2074662193609,29.0215326431509,159.852987838954,13.3367376230834,216.087527332397
"2017.498802",78.658877671883,28.6277218574107,159.262792288481,13.056402178097,215.531809084665
"2017.498831",78.1376517180342,28.2552366614238,158.700287025186,12.7924540516885,215.001196337461
"2017.498859",77.642339219106,27.9027135821601,158.164386057989,12.5437271243843,214.495002130653
"2017.498888",77.1715749664031,27.5688908318167,157.654031702211,12.3091525984975,214.012521563588
"2017.498916",76.7240722380867,27.2525994326292,157.168195926744,12.0877495917156,213.55303817953
"2017.498945",76.2986177529317,26.9527552340658,156.705881293998,11.878616761626,213.115829388885
